NR,x,y,DEVICE_ID,NAME,START,END,AVG_SPEED,AVG_LENGTH,MAX_SPEED,MAX_LENGTH,MIN_LENGTH,MIN_SPEED,VEHICLES_COUNT,HEAVY_VEHICLE_PERC
33,22.978894,57.018573,16,A10 80,2025-01-02 18:40:00,2025-01-02 18:50:00,89.217,7.774,73.000,12.610,4.180,71.000,174,20.69
34,21.850553,57.394208,17,A10 169,2025-01-02 18:10:00,2025-01-02 18:20:00,82.923,10.770,85.000,19.260,3.970,67.000,102,23.53
40,27.080487,56.282755,19,A13 81,2025-01-02 18:40:00,2025-01-02 18:50:00,79.700,7.139,88.000,15.530,3.180,56.000,84,21.43
21,25.534172,56.596532,25,A6 109,2025-01-02 18:40:00,2025-01-02 18:50:00,93.432,9.640,81.000,18.890,3.930,78.000,276,19.57
20,24.898029,56.662360,26,A6 63,2025-01-02 18:50:00,2025-01-02 19:00:00,89.000,10.464,92.000,17.640,3.970,68.000,150,16.00
24,24.341823,56.303565,28,A7 82,2025-01-02 18:20:00,2025-01-02 18:30:00,88.148,11.138,91.000,20.700,4.090,59.000,270,40.00
29,22.290129,56.671038,29,A9 113,2025-01-02 18:30:00,2025-01-02 18:40:00,94.417,9.092,90.000,18.640,4.190,84.000,186,22.58
1,24.313568,57.087778,32,A1 9,2025-01-02 18:40:00,2025-01-02 18:50:00,65.500,10.241,85.000,19.230,4.130,47.000,630,20.00
13,24.372046,56.962499,34,A4 7,2025-01-02 18:30:00,2025-01-02 18:40:00,71.422,10.430,65.000,19.160,3.960,48.000,528,27.27
25,23.903901,56.757642,35,A8 27,2025-01-02 18:40:00,2025-01-02 18:50:00,96.019,9.892,84.000,19.010,3.790,73.000,1068,10.11
19,24.397802,56.846312,38,A6 23,2025-01-02 18:20:00,2025-01-02 18:30:00,93.854,9.445,75.000,19.820,4.010,68.000,1038,9.25
23,26.074402,56.431402,40,A6 163,2025-01-02 18:40:00,2025-01-02 18:50:00,89.708,10.033,78.000,18.860,4.080,63.000,162,11.11
36,26.463202,56.521468,41,A12 39,2025-01-02 19:00:00,2025-01-02 19:10:00,85.800,8.522,80.000,15.490,4.080,61.000,78,23.08
2,24.365796,57.195692,42,A1 22,2025-01-02 18:40:00,2025-01-02 18:50:00,84.368,9.880,88.000,20.040,4.230,69.000,168,32.14
39,27.728218,56.800418,46,A13 10,2025-01-02 18:40:00,2025-01-02 18:50:00,105.000,2.783,82.000,2.890,2.710,82.000,18,0.00
28,23.064273,56.667602,47,A9 62,2025-01-02 18:10:00,2025-01-02 18:20:00,88.771,9.735,80.000,19.260,3.760,33.000,354,18.64
26,23.675776,56.375273,49,A8 75,2025-01-02 18:40:00,2025-01-02 18:50:00,84.250,10.484,73.000,16.790,4.080,68.000,66,27.27
7,25.228607,57.221032,22,A2 76,2025-01-02 18:40:00,2025-01-02 18:50:00,80.278,9.682,67.000,18.350,4.140,37.000,132,18.18
4,24.358191,57.851592,1050,A1 100,2025-01-02 17:40:00,2025-01-02 17:50:00,74.500,10.372,83.000,19.920,4.260,43.000,312,57.69
35,21.091867,56.266381,18,A11 37,2025-01-02 18:40:00,2025-01-02 18:50:00,91.308,8.652,91.000,16.300,4.180,73.000,96,18.75
11,25.320940,57.499804,31,A3 62,2025-01-02 18:50:00,2025-01-02 19:00:00,90.393,10.788,92.000,18.180,4.190,66.000,234,28.21
32,23.623694,56.928609,36,A10 36,2025-01-02 18:40:00,2025-01-02 18:50:00,84.500,9.260,76.000,19.480,4.100,63.000,672,17.86
45,24.246731,56.816011,45,P137 8 ,2025-01-02 18:40:00,2025-01-02 18:50:00,61.444,9.796,64.000,17.920,4.020,48.000,426,11.27
14,24.406482,56.903287,24,A4 14,2025-01-02 18:20:00,2025-01-02 18:30:00,76.633,9.220,61.000,18.930,4.110,54.000,438,32.88
6,24.629719,57.114099,2053,A2 37,2025-01-02 18:40:00,2025-01-02 18:50:00,90.726,9.983,77.000,19.300,3.580,62.000,984,17.68
31,23.902477,56.958307,2052,A10 17,2025-01-02 18:40:00,2025-01-02 18:50:00,95.295,8.890,91.000,18.820,2.290,46.000,2148,6.42
9,24.659478,57.129513,2054,A3 1,2025-01-02 18:00:00,2025-01-02 18:10:00,75.351,10.293,84.000,21.020,4.080,52.000,408,16.18
16,24.020110,56.843209,43,A5 23,2025-01-02 18:40:00,2025-01-02 18:50:00,86.908,8.991,68.000,17.200,4.040,67.000,504,9.52
43,24.773159,56.822041,2055,P80 14,2025-01-02 18:40:00,2025-01-02 18:50:00,86.484,9.528,81.000,18.220,3.930,68.000,234,20.51
30,21.667042,56.588606,2056,A9 154,2025-01-02 18:40:00,2025-01-02 18:50:00,89.226,8.110,85.000,16.040,2.530,76.000,204,5.88
41,27.430687,55.996191,2058,P61 21,2025-01-02 18:40:00,2025-01-02 18:50:00,79.000,5.073,96.000,6.140,4.430,79.000,18,66.67
10,24.898710,57.275772,2059,A3 24,2025-01-02 18:40:00,2025-01-02 18:50:00,89.226,9.150,85.000,20.120,3.970,68.000,240,22.50
